"","StockKeyLabel","AssessmentYear","AssessmentKey","Purpose","Ecoregion","AdviceCategory","AssessmentKey1","lineNumber","lineDescription","fishingPressure","stockSize","stockSizeStatus","fishingPressureStatus","year","status","statusicon","type"
"41","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Above upper trigger","Undefined",2016,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"42","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Above upper trigger","Undefined",2017,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"43","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Undefined",2016,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"44","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Undefined",2017,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"45","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Undefined",2018,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"46","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Undefined",2017,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"47","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Undefined",2018,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"48","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Undefined","Undefined",2019,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"49","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Undefined",2016,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"50","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Undefined",2017,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"51","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Undefined",2018,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"52","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Undefined",2017,3,"http://sg.ices.dk/download/icons/3.png","Stock Size"
"53","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Undefined",2018,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"54","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Undefined",2019,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"55","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2016,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"56","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2017,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"57","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2018,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"58","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2017,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
"59","ane.27.9a",2019,12959,"Advice","Bay of Biscay and the Iberian Coast Ecoregion","PA","12959","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2018,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
